#{"t_start": 1605156579.3429224, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1493.84705,401,366.173859,0
-1371.811765,168,366.891366,0
-1329.111944,267,368.749787,0
-585.338143,136,369.459787,0
-1026.008068,401,372.035314,0
-956.0656,401,374.703453,0
-959.100601,401,377.356678,0
-1239.477742,306,379.393657,0
-1372.489303,170,380.691833,0
-1440.273108,290,382.619255,0
-1839.632313,322,384.595228,0
-1072.484739,401,387.19182,0
-1109.729434,401,389.769176,0
-952.59643,401,392.306821,0
-521.621319,83,392.928481,0
-969.556694,363,395.410285,0
-1126.3076,364,397.358744,0
-1096.237067,401,399.798088,0
-536.641751,80,400.374935,0
-1055.954477,401,403.075831,0
-1109.972757,332,405.089615,0
-1197.889261,401,407.702336,0
-1108.682259,401,410.315641,0
-1127.980495,401,413.339018,0
-962.992266,401,415.851455,0
-1091.106824,401,418.537651,0
-1153.172743,401,421.417028,0
-493.052591,103,422.023387,0
-1047.186873,401,424.557798,0
-1081.263406,401,427.053448,0
-463.878659,85,427.149428,0
-1005.695574,401,429.639969,0
-1290.358074,401,432.145711,0
-1027.729576,401,434.611274,0
-939.852169,401,437.094193,0
-1147.571478,401,439.60263,0
-1280.146353,401,442.109019,0
-992.765863,401,445.042017,0
-941.149043,401,447.615677,0
-1101.865449,401,450.39682,0
-968.041302,258,452.037279,0
-808.284714,401,454.634949,0
-1206.977529,401,457.290001,0
-993.449366,401,460.042285,0
-1271.91893,401,462.49879,0
-899.481121,401,465.001784,0
-1702.650159,401,467.440427,0
-1661.673687,318,469.328312,0
-989.844193,401,471.806903,0
-1178.881428,401,474.29475,0
-1037.191161,401,476.816062,0
-1298.647956,401,479.271957,0
-720.869859,212,480.991975,0
-916.936544,295,482.338162,0
-952.62255,401,484.910637,0
-1436.445286,401,487.508951,0
-1507.192062,401,490.047252,0
-1302.917499,146,491.268487,0
-1086.810944,401,493.885653,0
-1062.939493,401,496.9382,0
-1060.266557,401,499.665132,0
-509.673704,92,500.309697,0
-1444.058579,401,503.013783,0
-446.536585,66,503.60957,0
-1157.323992,401,506.219492,0
-1270.647696,141,506.956213,0
-1177.481329,401,509.515654,0
-1338.687526,307,511.478142,0
-1192.368146,401,514.010366,0
-1609.35316,401,516.683892,0
-1191.470956,401,519.527121,0
-1250.674144,136,520.194443,0
-1675.350995,401,522.639402,0
-1440.796406,401,525.104274,0
-414.679663,77,525.690829,0
-1970.790859,314,527.564714,0
-1625.319092,401,530.021708,0
-1510.925776,401,532.493689,0
-416.430313,108,533.113924,0
-1296.535941,152,534.295632,0
-1831.477309,384,536.708366,0
-836.841815,401,539.16377,0
-1718.615114,381,541.56971,0
-1290.53856,155,542.256526,0
-650.101378,267,544.052907,0
-1753.410694,401,546.683631,0
-907.952526,401,549.690033,0
-1423.892706,252,551.164758,0
-1406.939955,203,552.599417,0
-466.990975,115,553.950456,0
-2075.5622,401,556.564883,0
-1312.918693,164,557.345178,0
-1382.552007,186,558.6933,0
-1424.333376,383,561.559388,0
-1341.736812,153,562.21729,0
-443.982012,104,563.332076,0
-1401.9173,180,564.049322,0
-1439.942848,251,565.821891,0
-902.901232,401,568.266746,0
-413.321797,73,568.848508,0
-445.970636,80,568.933293,0
-1379.228257,171,570.151978,0
-1627.93439,257,571.956502,0
-2701.386538,401,574.391273,0
-2437.004336,386,576.830737,0
-485.731919,153,577.501463,0
-1723.618856,289,579.339512,0
-1453.887361,255,580.624959,0
-2370.620183,399,583.040088,0
-2429.441182,365,585.44961,0
-1810.218063,270,587.380936,0
-442.224665,97,588.02443,0
-1203.065656,401,590.860215,0
-563.020347,108,591.650255,0
-1284.412001,401,594.473866,0
-978.081133,401,597.222975,0
-536.811602,113,597.989498,0
-489.751659,91,598.664329,0
-1957.967721,401,601.181442,0
-899.956951,401,603.64256,0
-1337.62156,169,604.827393,0
-1252.834859,303,606.8953,0
-1376.809536,175,607.613936,0
-1245.325973,401,610.244237,0
-1628.372485,280,612.23608,0
-1152.746384,401,615.193341,0
-925.507046,401,618.064556,0
-502.924421,95,618.710234,0
-567.071572,122,619.359729,0
-562.300824,114,620.522528,0
-1305.71787,401,623.089757,0
-560.841352,110,623.784211,0
-1187.600525,401,626.419951,0
-1348.815579,183,627.699284,0
-503.055633,91,627.821073,0
-1753.134434,265,629.718489,0
-407.881572,66,630.354456,0
-525.607456,94,630.990997,0
-1584.224886,382,633.484605,0
-1724.120803,370,635.550111,0
-829.766126,401,638.164918,0
-928.320115,401,640.688465,0
-1289.634738,114,641.322568,0
-902.526596,401,643.946396,0
-455.955499,74,644.576925,0
-1007.557896,401,647.189055,0
-465.18463,62,647.791967,0
-923.402215,401,650.344894,0
-1075.847782,401,652.932047,0
-498.34353,97,653.616008,0
-938.020004,401,656.273233,0
-919.427196,401,659.229767,0
-990.545593,401,661.767359,0
-519.260717,104,662.394342,0
-1734.695658,315,664.352111,0
-1574.440509,236,665.683737,0
-489.606048,92,666.317547,0
-1280.325951,171,667.598108,0
-888.88849,317,669.598323,0
-414.949459,73,670.196682,0
-1505.047582,243,671.553836,0
-908.570071,401,674.074269,0
-1059.998343,401,676.696625,0
-530.932657,133,677.969529,0
-1119.463666,401,680.57918,0
-1571.559483,247,681.97958,0
-1436.576912,172,683.317098,0
-435.589503,79,684.189192,0
-883.124161,401,687.04381,0
-1145.876473,309,688.98454,0
-580.804764,166,689.698714,0
-1412.887031,198,690.959408,0
-875.569756,401,693.534697,0
-872.266952,401,696.065386,0
-515.129062,117,697.232861,0
-1147.768772,315,699.235282,0
-695.069193,194,700.507678,0
-1247.386992,401,703.137928,0
-932.019958,401,705.959535,0
-936.896335,401,708.503283,0
-1077.310555,401,710.959294,0
-670.495243,188,712.175173,0
-1084.207477,401,714.623834,0
-1006.588917,401,717.142438,0
-1023.829002,401,719.675868,0
-511.286108,82,719.759627,0
-1041.051073,401,722.21943,0
-1025.956235,401,724.761933,0
-1249.801852,261,726.64394,0
-642.464424,247,728.425284,0
-1485.087502,364,730.314327,0
-527.044405,93,730.925196,0
-833.597488,332,732.96615,0
-409.943863,68,733.614685,0
-701.327771,231,734.976697,0
-1006.002507,234,737.252509,0
-1311.488378,367,739.276579,0
-1527.128699,391,741.861877,0
-446.890839,79,742.484556,0
-433.355031,78,743.111747,0
-406.063526,66,743.733012,0
-1058.763033,401,746.400185,0
-477.671629,80,746.505972,0
-1450.988877,343,749.077185,0
-366.927644,66,749.1561,0
-476.984211,83,749.823398,0
-431.849162,74,750.479623,0
-453.485587,115,751.193578,0
-1333.007091,401,754.295225,0
-369.468436,57,754.948004,0
-522.591687,93,755.572059,0
-342.247658,59,755.632955,0
-376.614624,98,756.293119,0
-1547.625018,348,758.866674,0
-410.923229,72,758.958954,0
-473.382729,84,759.596664,0
-1465.982372,232,761.556174,0
-407.940561,67,761.636582,0
-557.607263,107,762.384125,0
-426.500415,99,763.259767,0
-1565.102182,330,765.714162,0
-1450.539909,323,767.591289,0
-422.271015,73,768.187558,0
-417.123196,70,768.260671,0
-400.862634,67,768.844792,0
-1351.022033,401,771.404079,0
-411.36561,70,772.020073,0
-456.392308,84,772.606399,0
-1401.759728,192,773.360472,0
-447.113937,76,773.953323,0
-505.359161,123,774.618536,0
-334.377067,42,775.164631,0
-571.033081,113,775.785613,0
-1306.162703,190,777.039544,0
-371.443182,57,777.098967,0
-1250.27537,158,778.346043,0
-1274.782464,229,779.642688,0
-347.004821,57,780.234019,0
-419.141438,75,780.85386,0
-340.232399,49,780.906449,0
-419.383802,75,781.510597,0
-442.087065,81,782.128213,0
-340.624313,48,782.176567,0
-489.187723,107,782.812771,0
-1370.714508,242,784.63879,0
-427.381922,72,784.712157,0
-560.910066,119,785.907785,0
-1423.924264,281,787.261241,0
-1319.451128,146,788.445929,0
-660.441963,167,789.200145,0
-1378.15353,178,790.503341,0
-516.81958,139,791.777069,0
-338.312752,47,791.838138,0
-1053.292161,401,794.846208,0
-449.697163,73,795.529854,0
-500.966973,141,796.327314,0
-678.644415,155,797.676941,0
-1447.595638,227,799.086523,0
-1615.124623,373,801.679495,0
-680.655374,183,803.018634,0
-439.938173,118,803.702475,0
-1415.225567,193,804.988662,0
-1353.86357,170,805.706282,0
-1474.058571,187,806.985899,0
-471.175372,86,807.634588,0
-449.087695,72,808.24156,0
-568.25393,112,808.908805,0
-1495.09883,302,811.088421,0
-436.893665,75,811.719862,0
-1512.722189,266,813.016246,0
-935.033012,238,814.791776,0
-569.596051,115,815.429245,0
-499.15231,90,816.067492,0
-453.45384,79,816.669172,0
-441.969574,100,817.276161,0
-460.669322,100,817.899955,0
-379.397829,69,817.972271,0
-1766.413155,283,819.769413,0
-555.311355,101,820.386365,0
-1392.197445,340,822.841821,0
-370.513491,72,822.919186,0
-1516.618217,256,824.746513,0
-441.278674,88,825.365122,0
-434.315612,121,826.016225,0
-601.97266,241,827.344577,0
-432.7142,76,827.956484,0
-497.974709,193,829.193894,0
-1389.38292,401,831.672695,0
-1019.74663,401,834.157205,0
-487.25814,90,834.783844,0
-1070.504879,401,837.371909,0
-520.680047,205,838.705814,0
-507.641403,113,839.381793,0
-1528.026978,249,841.620771,0
-1050.309325,277,843.131344,0
-1509.505995,401,845.890375,0
-453.537246,100,846.556846,0
-507.385367,86,847.19063,0
-1362.532933,307,849.250955,0
-1458.562546,247,851.140855,0
-509.812657,86,851.794207,0
-511.331791,78,852.40055,0
-792.046769,344,854.420608,0
-1380.669301,226,855.765389,0
-882.301146,239,857.668869,0
-648.62622,227,859.302445,0
-496.727939,107,860.074459,0
-550.870465,96,860.743273,0
-577.8612,294,862.859622,0
-1527.8657,278,864.938248,0
-1080.337635,401,867.696568,0
-415.461157,76,867.780295,0
-619.380709,196,869.102355,0
-946.056044,267,871.096008,0
-1332.432339,239,872.631869,0
-1091.670125,390,875.6237,0
-1371.408301,301,877.658806,0
-659.95246,158,878.867971,0
-838.074303,401,881.431203,0
-839.884252,401,884.073728,0
-863.991249,401,886.704423,0
-1653.855811,318,888.731566,0
-1155.698185,401,891.440559,0
-977.627118,401,894.155812,0
-729.200773,401,896.632533,0
-736.330493,229,897.876525,0
-786.5837,401,900.345768,0
-1215.147186,401,902.810369,0
-668.148477,401,905.35405,0
-698.454841,401,907.869418,0
-1328.748216,401,910.364727,0
-1502.381405,401,912.850454,0
-1239.19929,335,915.25996,0
-1174.573779,273,917.086813,0
-1266.038121,310,919.079112,0
-689.549938,243,920.474952,0
-788.481392,401,923.52034,0
-674.124612,288,925.578698,0
-400.54469,93,926.236085,0
-1453.76268,401,928.820998,0
-1193.027478,240,930.180575,0
-1217.68267,401,932.841816,0
-571.06044,208,934.171671,0
-844.303554,401,936.838283,0
-745.496386,401,939.898787,0
-1629.34121,237,941.932017,0
-1325.885544,236,943.41817,0
-1559.20684,337,945.945685,0
-930.386023,390,947.934581,0
-707.500625,401,950.438024,0
-1703.507576,192,951.726374,0
-714.801625,401,954.508587,0
-1528.435975,220,956.555565,0
-1592.083262,259,958.070597,0
-878.276258,401,960.917987,0
-734.810751,401,963.57341,0
-646.333621,401,966.223002,0
-810.353717,382,968.920672,0
-412.287317,91,969.67808,0
-1631.254514,315,971.949791,0
-587.500861,401,974.780325,0
-776.694325,263,976.831025,0
-368.420191,69,976.903078,0
-660.733812,401,979.561568,0
-504.134523,114,980.800051,0
-1685.56846,389,982.922243,0
-1510.286764,253,984.89246,0
-1728.578524,261,986.873137,0
-493.844824,74,986.964783,0
-762.407637,401,989.63115,0
-438.400745,78,990.289143,0
-478.368103,202,991.649543,0
-704.891554,401,994.337081,0
-756.254086,401,996.972215,0
-679.109896,401,999.642456,0
-981.352054,401,1002.288176,0
-875.969432,401,1004.949776,0
-953.294579,261,1007.231339,0
-1409.479363,401,1010.045989,0
-922.015618,401,1012.811662,0
-867.392941,401,1015.420159,0
-1041.463436,401,1018.025928,0
-1161.075697,401,1020.597943,0
-842.540061,401,1023.273536,0
-941.383078,401,1026.285504,0
-1053.937931,401,1028.885271,0
-1470.539699,401,1031.527187,0
-1387.580089,401,1034.637664,0
-877.411172,401,1037.276374,0
-1354.353065,401,1039.874134,0
-834.871369,401,1042.513335,0
-1314.756666,401,1045.179723,0
-752.346701,263,1047.372854,0
-652.891485,187,1048.095941,0
-922.664586,401,1050.608831,0
-894.521721,401,1053.076468,0
-809.422292,401,1055.573166,0
-667.302592,401,1058.031958,0
-728.004133,401,1060.515342,0
-2312.285512,319,1062.90319,0
-1181.846298,331,1064.838479,0
-828.801805,401,1067.344564,0
-706.02286,401,1069.853024,0
-1334.33091,324,1071.76837,0
-1453.439314,207,1073.066869,0
-588.254984,401,1075.665749,0
-635.804829,401,1078.697012,0
-1467.792339,228,1080.751546,0
-1422.681961,251,1082.149425,0
-1486.103073,250,1084.03893,0
-721.553568,401,1086.651836,0
-871.871782,401,1089.309756,0
-695.259054,401,1092.30186,0
-941.227963,401,1095.1069,0
-769.258508,401,1097.916428,0
-629.090029,401,1100.56649,0
-1458.805741,376,1102.698584,0
-628.536681,401,1105.588011,0
-1590.191478,281,1107.396694,0
-612.281328,401,1109.918349,0
-614.901553,401,1112.431911,0
-719.288288,401,1114.947973,0
-1285.184355,401,1117.433578,0
-1075.713381,401,1119.934374,0
-537.665261,401,1122.45971,0
-947.270223,401,1124.963056,0
-650.274312,401,1127.572705,0
-881.46262,401,1130.058542,0
-1569.93478,288,1132.013333,0
-917.660054,401,1134.668784,0
-606.356441,401,1137.707398,0
-468.588451,401,1140.607905,0
-1611.868877,401,1143.484842,0
-680.435965,401,1146.122182,0
-1345.023252,376,1148.77853,0
-1196.892016,401,1151.404631,0
-804.966159,401,1154.094842,0
-1430.947064,248,1156.353293,0
-1337.221453,272,1157.864799,0
-703.431485,401,1160.774291,0
-1610.174829,203,1162.210532,0
-755.806925,401,1164.87584,0
-750.199048,401,1167.505483,0
-825.574346,401,1170.157322,0
-741.01467,401,1172.815836,0
-864.826201,401,1175.413109,0
-717.47292,401,1178.046997,0
-754.143487,401,1180.877537,0
-898.773773,401,1183.377425,0
-728.510429,401,1185.931726,0
-889.379928,401,1188.448054,0
-1049.303678,401,1190.975286,0
-748.158275,401,1193.512571,0
-1131.307198,401,1196.055252,0
