#{"t_start": 1606382012.5693095, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
927.012479,170,5550.169733,1
1516.378257,85,5550.427417,1
-363.324042,85,5550.728634,0
1073.18359,140,5551.149868,1
838.61458,180,5551.726851,1
236.079578,401,5553.067776,0
1339.965014,111,5553.444401,1
-526.096582,101,5553.811507,0
1351.489483,111,5554.213703,1
138.125706,401,5555.593277,0
1267.930077,113,5555.967709,1
492.29997,401,5557.368316,0
1197.765992,124,5557.784696,1
-432.709726,68,5558.021043,0
1164.005571,126,5558.433883,1
1137.710205,132,5558.92168,1
1100.668148,136,5559.384786,1
1100.828725,137,5559.817961,1
1088.969969,139,5560.253053,1
1556.559801,88,5560.578757,1
1273.781139,117,5560.959723,1
1163.81093,133,5561.444685,1
1152.771355,127,5561.870422,1
1195.81501,125,5562.254465,1
1083.457489,144,5562.740289,1
-364.841175,81,5563.028314,0
1385.200269,100,5563.37667,1
1300.895069,110,5563.735112,1
-479.288501,67,5563.932359,0
1149.163651,127,5564.340939,1
1202.985306,119,5564.758628,1
0.544196,309,5565.879148,1
1213.663792,126,5566.315948,1
-488.966187,83,5566.557545,0
1194.242044,127,5566.954409,1
844.100701,176,5567.527762,1
1113.589197,132,5568.014079,1
969.823155,183,5568.617259,1
1367.818856,105,5568.954747,1
-537.879774,401,5570.326781,0
1236.625017,114,5570.679178,1
1211.061804,126,5571.082734,1
1343.117878,100,5571.396141,1
970.258555,150,5571.930671,1
-420.739924,92,5572.262285,0
1216.126041,119,5572.691671,1
-587.871006,401,5574.04582,0
1622.866893,72,5574.247218,1
1201.328531,129,5574.708491,1
1137.964534,134,5575.181715,1
1400.597564,101,5575.518853,1
1066.859087,135,5575.944113,1
1105.436918,133,5576.371746,1
1123.007973,133,5576.827615,1
1344.549355,108,5577.219519,1
1030.685303,140,5577.658605,1
-519.596049,237,5578.445747,0
1523.241065,87,5578.757309,1
-629.356111,180,5579.352284,0
912.984561,182,5579.95195,1
-539.240325,401,5581.212882,0
1179.799279,128,5581.600322,1
-565.753729,162,5582.091948,0
1243.775435,113,5582.469696,1
-434.233712,75,5582.659436,0
1387.595687,101,5582.998578,1
1096.159266,139,5583.42486,1
-399.851717,93,5583.742077,0
