#{"t_start": 1605971973.361055, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1287.750679,108,58.690321,0
-1240.482223,125,58.900629,0
-322.747258,28,58.950089,0
-357.358278,50,59.024677,0
-1224.605167,104,59.193707,0
-1230.609174,115,59.367535,0
-1360.776638,122,59.572296,0
-1214.731614,99,59.739392,0
-1427.070856,99,59.894853,0
-1303.282205,129,60.109972,0
-1438.205003,99,60.268083,0
-1194.873487,102,60.429748,0
-1397.177609,84,60.557591,0
-430.642815,64,60.661902,0
-1327.971206,125,60.869796,0
-1238.378912,110,61.052994,0
-1320.562073,111,61.233121,0
-404.882798,66,61.347476,0
-394.232932,60,61.45354,0
-438.28274,80,61.569614,0
-1391.257181,86,61.71362,0
-1229.471382,144,61.95143,0
-1279.72682,102,62.123895,0
-1242.746406,99,62.275351,0
-1342.564253,99,62.451555,0
-1256.896198,108,62.617277,0
-390.986354,53,62.709188,0
-1262.441349,87,62.84122,0
-401.344921,52,62.917567,0
-1287.256477,109,63.105788,0
-1261.280518,101,63.264176,0
-1291.153302,93,63.42952,0
-1267.09938,92,63.576862,0
-1320.769579,118,63.785353,0
-1254.397435,138,64.000458,0
-1200.827849,112,64.17312,0
-1333.376921,111,64.368654,0
-399.809491,81,64.499682,0
-1283.198438,117,64.691843,0
-388.969035,56,64.787916,0
-1246.718032,104,64.956671,0
-1281.561222,109,65.130051,0
-1263.226875,105,65.299176,0
-1418.55731,94,65.456605,0
-1286.534549,102,65.630527,0
-1285.585752,127,65.831999,0
-1384.417703,101,66.006092,0
-1318.043496,124,66.196442,0
-1451.868748,156,66.444352,0
-1309.716882,116,66.642159,0
-1314.640757,114,66.828305,0
-321.651236,54,66.923209,0
-1290.734492,127,67.130485,0
-1243.100354,122,67.341877,0
-1292.262405,148,67.57428,0
-1286.948246,114,67.750688,0
-1219.000773,135,67.984728,0
-444.812378,67,68.086639,0
-1261.078565,131,68.302268,0
-1362.360568,173,68.59085,0
-1377.156287,205,68.950213,0
-368.6005,51,69.044372,0
-1218.933825,127,69.296297,0
-1301.215304,109,69.514608,0
-362.151373,50,69.60742,0
-424.236231,66,69.736008,0
-374.036397,63,69.843124,0
-1276.817838,139,70.072756,0
-1237.280706,125,70.272766,0
-1260.989047,113,70.468901,0
-1312.342012,116,70.660432,0
-384.105899,59,70.779169,0
-1321.742354,96,70.95525,0
-1286.511557,102,71.146555,0
-1277.873417,102,71.334773,0
-1269.005887,97,71.537064,0
-1327.174237,79,71.683369,0
-333.238181,32,71.738116,0
-385.818009,60,71.843846,0
-1279.699485,96,72.009507,0
-1304.779831,133,72.228301,0
-433.019833,66,72.339378,0
-1244.60299,114,72.516233,0
-1310.473961,86,72.661077,0
-1230.23295,101,72.827261,0
-1209.667543,105,73.005456,0
-376.27083,49,73.078866,0
-1278.396547,101,73.255322,0
-1330.052234,103,73.414334,0
-1324.008367,89,73.559811,0
-1322.634864,81,73.681313,0
-1249.115558,108,73.864645,0
-348.902632,36,73.92769,0
-1257.650718,89,74.068672,0
-1237.953157,102,74.240784,0
-406.847033,66,74.353524,0
-1273.835704,104,74.52922,0
-1260.496646,104,74.697985,0
-1380.790693,87,74.835601,0
-1295.607138,99,74.992753,0
-1294.939206,88,75.138913,0
-409.333369,68,75.252316,0
-1289.34473,105,75.415951,0
-1343.106403,85,75.573398,0
-1347.932223,80,75.700104,0
-1310.261883,79,75.833218,0
-1261.257319,111,76.003804,0
-1318.313798,92,76.147357,0
-1463.348556,100,76.319218,0
-1310.994481,86,76.463439,0
-1317.826217,78,76.589694,0
-1294.438182,99,76.755417,0
-1244.761626,94,76.91312,0
-1269.187445,105,77.081837,0
-1256.424798,105,77.251653,0
-1203.319803,101,77.409168,0
-1280.164606,101,77.586009,0
-1228.483331,105,77.759716,0
-1286.090684,80,77.89157,0
-1258.852405,101,78.057598,0
-1324.641886,82,78.200984,0
-1313.963158,88,78.330523,0
-1336.827355,79,78.456977,0
-1353.171598,82,78.589479,0
-1213.790406,98,78.758947,0
-1295.430028,79,78.90931,0
-1282.914048,88,79.075955,0
-1311.850265,89,79.252139,0
-1345.966997,85,79.410866,0
-1279.600979,84,79.582074,0
-1273.862594,105,79.759778,0
-1331.153682,89,79.907476,0
-1308.849068,102,80.072352,0
-1550.756662,110,80.253241,0
-1334.617469,88,80.40521,0
-1347.550989,104,80.576148,0
-1253.006247,115,80.773666,0
-1309.26165,98,80.96029,0
-1298.143413,79,81.118308,0
-1402.183629,94,81.301165,0
-1422.188021,93,81.49356,0
-1367.57035,94,81.674047,0
-1345.325141,83,81.819961,0
-1245.466094,104,81.982246,0
-1521.351718,96,82.141426,0
-1405.256559,94,82.295796,0
-1264.083718,100,82.466396,0
-1326.53409,103,82.632036,0
-1425.602973,102,82.823936,0
-1262.453527,100,83.008913,0
-1598.547682,103,83.202237,0
-1476.957342,112,83.416054,0
-1520.913603,120,83.643758,0
-1364.077025,104,83.82931,0
-1305.069779,111,84.016295,0
-1274.839767,106,84.194882,0
-1338.175079,117,84.382558,0
-1294.636112,118,84.581745,0
-1333.277808,107,84.760072,0
-499.835964,57,84.852015,0
-1515.573169,108,85.030159,0
-1503.540385,116,85.22565,0
-1560.291079,116,85.415549,0
-1366.710334,114,85.590267,0
-1386.276918,104,85.756072,0
-1523.514272,122,85.965211,0
-1401.96455,111,86.149115,0
-334.729608,32,86.204635,0
-1309.177793,99,86.360593,0
-1682.181543,118,86.558656,0
-1374.296672,109,86.742182,0
-1591.316093,117,86.931065,0
-1254.6387,100,87.095585,0
-1450.474232,110,87.280015,0
-477.677721,54,87.360702,0
-477.010516,53,87.457356,0
-1444.219811,103,87.630306,0
-1556.707021,106,87.805537,0
-1427.489221,108,87.981422,0
-1317.935653,99,88.144572,0
-402.254212,39,88.208103,0
-1393.962741,110,88.394997,0
-1333.790604,107,88.567228,0
-1376.399154,111,88.757041,0
-1375.557268,111,88.938851,0
-1357.391148,106,89.105559,0
-1320.379098,105,89.269293,0
-1284.42013,102,89.446029,0
-392.227162,46,89.521743,0
-1277.359091,109,89.700654,0
-1317.315216,109,89.877959,0
-1315.478732,104,90.054277,0
-370.924598,41,90.120405,0
-1375.2128,103,90.28495,0
-370.483144,38,90.349075,0
-1359.935021,99,90.504212,0
-455.776528,52,90.585242,0
-413.151325,46,90.65958,0
-1402.486041,108,90.845469,0
-1398.0217,105,91.015302,0
-1301.527017,105,91.196976,0
-1386.470284,114,91.38718,0
-1328.674251,110,91.555623,0
-1401.315384,108,91.72784,0
-404.711027,42,91.801868,0
-1306.282846,102,91.966121,0
-1414.161346,108,92.155562,0
-1397.12203,106,92.323451,0
-1336.112465,104,92.496835,0
-1307.792288,107,92.6682,0
-400.61982,41,92.730722,0
-1281.286837,110,92.895823,0
-1440.906989,125,93.111696,0
-437.554776,52,93.199383,0
-1342.883465,110,93.379074,0
-1321.185274,110,93.560689,0
-422.770646,47,93.64083,0
-1388.736767,113,93.831846,0
-1389.77434,109,94.007473,0
-1343.964308,105,94.169822,0
-396.582783,44,94.240466,0
-1386.959891,102,94.420716,0
-450.14283,55,94.508362,0
-460.926698,57,94.597161,0
-1426.829858,112,94.807739,0
-1425.431972,117,95.030161,0
-1395.706762,106,95.21325,0
-1255.591542,107,95.414244,0
-1320.351584,108,95.630597,0
-1319.566956,110,95.824308,0
-397.955844,42,95.899758,0
-1395.91502,109,96.081528,0
-439.958214,52,96.171329,0
-1272.866571,111,96.343562,0
-1431.642766,116,96.534451,0
-1340.814996,108,96.70901,0
-1337.280273,103,96.881036,0
-1320.911866,112,97.05609,0
-1393.436494,112,97.236574,0
-1333.184686,112,97.421554,0
-1430.071572,112,97.592695,0
-1275.143036,109,97.768332,0
-1478.198728,115,97.958811,0
-1297.335471,102,98.123829,0
-1336.538587,111,98.301725,0
-1299.800697,110,98.494993,0
-433.985325,49,98.572009,0
-1333.705951,106,98.75296,0
-1367.31775,106,98.919531,0
-442.831259,55,99.017814,0
-1302.753373,109,99.211522,0
-1310.466624,103,99.382269,0
-1312.606743,120,99.58381,0
-1371.705387,113,99.764236,0
-1314.990526,109,99.937173,0
-1362.197032,108,100.113423,0
-1270.039895,113,100.291414,0
-1463.547874,115,100.483124,0
-1317.281981,113,100.666682,0
-1228.233053,105,100.842717,0
-405.225535,47,100.917159,0
-1172.419123,65,101.031673,0
-1360.136202,102,101.191439,0
-1425.018531,108,101.364322,0
-411.086408,48,101.455244,0
-1395.511737,104,101.618533,0
-1393.850239,103,101.802244,0
-1321.337499,103,101.966607,0
-1266.102764,120,102.181811,0
-390.979674,42,102.242727,0
-1455.375354,118,102.437433,0
-411.742767,44,102.507015,0
-1456.764392,107,102.694323,0
-1430.87874,118,102.892394,0
-1373.080422,111,103.076068,0
-1352.504125,104,103.247197,0
-1393.199868,109,103.427367,0
-1368.113995,105,103.583512,0
-1426.831,109,103.769913,0
-414.102944,47,103.843759,0
-447.082837,51,103.926206,0
-1347.183041,110,104.113021,0
-419.088938,47,104.188513,0
-1240.926169,105,104.367204,0
-436.116407,50,104.451602,0
-1346.871687,105,104.613595,0
-1243.190851,105,104.803124,0
-1345.489465,104,105.018557,0
-1415.87693,111,105.258411,0
-1316.57436,106,105.485212,0
-450.649124,54,105.602312,0
-1221.957426,64,105.732809,0
